,client_id,path,sentence,up_votes,down_votes,age,gender,accents,variant,locale,segment
579,ca4d4da2a8deab111c266ee13cc49978cc283e77b0ff4ba968e8f0eea2a7fa5a7374db2c6dfbd9c95ebfee66ca54ca719ac2fe9319f11d21afab2474720570d9,common_voice_en_38536394.wav,This revelation destroyed investor confidence in the Taylor Foundation.,2,0,teens,male,Australian English,,en,
514,86111d8f9248617cea687403d7cf674c43f498a9416b2f492b678af31ba7a8cb1728fbb045157b204894a7ae87e475654fb87fe3d3838e55db7db1b125c90769,common_voice_en_39175731.wav,Treeing Walker Coonhounds get along well with other dogs and with children.,2,0,teens,female,United States English,,en,
858,39630dc8eb4b1c31ac62ac320f2b24275af3132297bf70a0f20a78cc630c208995d6c223a1b0a37b576699ee65307f442efd35942e61ce683e0f3b41c13dfd9f,common_voice_en_38522174.wav,The team's average attendance ranked sixth in the seven-team league.,4,0,teens,male,United States English,,en,
269,75ad422b6fc047de651cd2306520504e2fc2ce3236666eb653be4d2d3864901432337a7f52b0a1bbb9f4a09f9fdb52f442ffd443f1bccf841d6ba7ced907e208,common_voice_en_39018435.wav,He then passes the daily operations on to local leadership for the long term.,2,0,teens,male,,,en,
432,bcfc949a52d81a15be4cc039d776803c5712cc59d1042503a7ea03a0e1b00562f769cf299206fe01c0b164e53c8342795280d1d9d976760b4945bd6591e09b63,common_voice_en_38528159.wav,"In C, the associativity is left-to-right for most operators; in C shell, it's right-to-left.",2,0,teens,male,United States English,,en,
25,1da998f354109f83fcae4f360e0e08ad0e64937a7870c947379a71931177b04739d57a1fdbe2324812590b928bdeb1e868c21e4214b7c7302c4bf630e0afe6eb,common_voice_en_38523203.wav,The character of the Well-Manicured Man has been positively received by critics.,2,0,twenties,male,United States English,,en,
2115,206710ecc1fcd76f0e083acbd83a04bd9613a02785b70caed19e7764dc00239a37407730310c555c891505342dd257b101e6b9df14e7d4b855b73e42df72dd96,common_voice_en_38687232.wav,The latter race has occurred as a vagrant to Grenada.,2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
3322,cf166b2a376b2518887f5a2e3c347a69f495260309ac27cc1b860d599c86cf85ebf2f20f4dbee126894eecf204d9ef657ffd494c46e75ba0d5c4a227396385eb,common_voice_en_38825214.wav,The meetings originated with the leaders of the self-governing colonies of the British Empire.,2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
2039,206710ecc1fcd76f0e083acbd83a04bd9613a02785b70caed19e7764dc00239a37407730310c555c891505342dd257b101e6b9df14e7d4b855b73e42df72dd96,common_voice_en_38677972.wav,"However, cases such as graphene may provide counter-examples.",2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
1817,2eaa77044cd86db36344c4960018f6749c36d44d435a26297e8861eb56ffb15bf978667d74903a7f054d7fb9fdead2615dab2fe4f046945989b56de2669bdb98,common_voice_en_38706229.wav,Its soundtrack was written by acclaimed composer Yuzo Koshiro.,2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
